16,0.00,0.77,0.00,0.75,0.00,0.00,0.25,0.02,0.14,0.78,0.35,0.00,0.00,0.01,0.00,0.03,0.00,0.93,0.98,0.36,0.98,0.09
32,0.00,0.29,0.00,0.32,0.00,0.00,0.04,0.01,0.03,0.88,0.18,0.01,0.00,0.01,0.01,0.02,0.03,1.00,0.94,0.73,0.97,0.07
48,0.00,0.61,0.00,0.29,0.00,0.00,0.02,0.01,0.01,0.96,0.60,0.00,0.00,0.00,0.00,0.05,0.00,0.86,1.00,0.21,0.99,0.03
0,0.00,0.99,0.01,0.93,0.00,0.00,0.34,0.02,0.29,0.55,0.62,0.00,0.00,0.01,0.01,0.04,0.00,0.97,0.16,0.66,0.97,0.17
49,0.00,0.33,0.00,0.54,0.00,0.00,0.02,0.01,0.02,0.75,0.26,0.01,0.00,0.01,0.02,0.07,0.01,0.93,0.40,0.81,0.94,0.08
33,0.00,0.50,0.00,0.58,0.00,0.00,0.14,0.01,0.06,0.84,0.25,0.00,0.00,0.01,0.00,0.03,0.01,0.99,0.98,0.64,0.98,0.07
1,0.00,0.99,0.01,0.96,0.00,0.00,0.61,0.03,0.34,0.51,0.67,0.00,0.00,0.01,0.01,0.04,0.00,0.86,0.20,0.55,0.97,0.21
17,0.00,0.51,0.00,0.52,0.00,0.00,0.08,0.01,0.05,0.88,0.36,0.01,0.00,0.01,0.01,0.03,0.01,1.00,0.82,0.55,0.98,0.08
50,0.00,0.64,0.00,0.56,0.00,0.00,0.01,0.01,0.03,0.74,0.32,0.02,0.00,0.01,0.03,0.06,0.01,0.92,0.34,0.74,0.91,0.06
34,0.00,0.94,0.01,0.89,0.00,0.00,0.88,0.02,0.22,0.61,0.67,0.00,0.00,0.01,0.00,0.03,0.00,0.64,0.98,0.17,0.99,0.14
2,0.00,0.85,0.01,0.86,0.00,0.00,0.60,0.02,0.24,0.66,0.58,0.00,0.00,0.01,0.00,0.04,0.00,0.59,0.97,0.14,0.99,0.16
18,0.00,0.29,0.00,0.15,0.00,0.00,0.01,0.01,0.02,0.91,0.09,0.03,0.00,0.01,0.01,0.03,0.05,0.99,0.69,0.74,0.99,0.09
51,0.00,0.56,0.00,0.53,0.00,0.00,0.02,0.02,0.03,0.75,0.27,0.02,0.00,0.01,0.02,0.06,0.01,0.89,0.42,0.80,0.90,0.06
35,0.00,0.51,0.00,0.67,0.00,0.00,0.17,0.01,0.06,0.89,0.24,0.00,0.00,0.01,0.00,0.03,0.01,0.98,0.98,0.61,0.99,0.08
3,0.00,0.81,0.01,0.82,0.00,0.00,0.28,0.02,0.18,0.74,0.34,0.00,0.00,0.01,0.00,0.03,0.00,0.86,0.96,0.28,0.99,0.11
19,0.00,0.30,0.00,0.20,0.00,0.00,0.03,0.01,0.02,0.93,0.12,0.01,0.00,0.01,0.01,0.03,0.02,0.99,0.86,0.78,0.99,0.07
52,0.00,0.44,0.00,0.59,0.00,0.00,0.03,0.02,0.03,0.77,0.48,0.01,0.00,0.01,0.01,0.07,0.01,0.83,0.70,0.56,0.90,0.05
36,0.00,0.38,0.00,0.55,0.00,0.00,0.09,0.01,0.03,0.94,0.21,0.01,0.00,0.01,0.00,0.03,0.01,0.99,0.97,0.65,1.00,0.07
4,0.00,0.99,0.01,0.96,0.00,0.00,0.93,0.03,0.32,0.43,0.88,0.00,0.00,0.01,0.01,0.04,0.00,0.70,0.48,0.14,0.99,0.27
20,0.00,0.50,0.00,0.42,0.00,0.00,0.07,0.01,0.05,0.92,0.19,0.01,0.00,0.01,0.01,0.03,0.01,0.99,0.89,0.72,0.99,0.07
53,0.00,0.23,0.00,0.25,0.00,0.00,0.03,0.02,0.02,0.90,0.40,0.00,0.00,0.00,0.02,0.07,0.01,0.33,0.96,0.28,0.98,0.04
37,0.00,0.38,0.00,0.62,0.00,0.00,0.10,0.01,0.06,0.87,0.21,0.00,0.00,0.01,0.00,0.03,0.01,0.99,0.97,0.67,0.99,0.08
5,0.00,0.70,0.00,0.74,0.00,0.00,0.25,0.02,0.12,0.80,0.29,0.00,0.00,0.01,0.00,0.03,0.00,0.93,0.98,0.41,0.99,0.08
21,0.00,0.38,0.00,0.63,0.00,0.00,0.04,0.01,0.00,0.99,0.21,0.00,0.00,0.00,0.00,0.07,0.01,0.64,1.00,0.10,1.00,0.12
38,0.00,0.72,0.00,0.81,0.00,0.00,0.29,0.02,0.12,0.74,0.35,0.00,0.00,0.01,0.00,0.03,0.01,0.96,0.96,0.42,0.97,0.09
54,0.00,0.88,0.00,0.09,0.00,0.00,0.99,0.01,0.16,0.75,0.12,0.00,0.00,0.01,0.00,0.02,0.01,0.20,0.03,0.85,1.00,0.06
6,0.00,0.59,0.00,0.78,0.00,0.00,0.30,0.02,0.13,0.75,0.32,0.00,0.00,0.01,0.00,0.03,0.00,0.89,0.97,0.42,0.98,0.08
22,0.00,0.57,0.00,0.54,0.00,0.00,0.18,0.01,0.07,0.91,0.24,0.00,0.00,0.01,0.00,0.03,0.01,0.98,0.96,0.67,0.99,0.06
39,0.00,0.50,0.00,0.77,0.00,0.00,0.05,0.01,0.04,0.81,0.37,0.01,0.00,0.01,0.01,0.04,0.01,0.98,0.77,0.61,0.93,0.08
55,0.00,0.53,0.00,0.04,0.01,0.00,0.01,0.01,0.05,0.82,0.03,0.18,0.00,0.00,0.07,0.03,0.06,0.89,0.34,0.98,0.98,0.08
7,0.00,0.76,0.01,0.86,0.00,0.00,0.54,0.02,0.18,0.70,0.44,0.00,0.00,0.01,0.00,0.04,0.00,0.74,0.96,0.25,0.99,0.10
