0,0.00,1.00,0.01,0.81,0.00,0.00,0.03,0.03,0.99,0.98,0.49,0.00,0.00,0.02,0.04,0.08,0.02,0.04,0.00,0.04,1.00,0.97
20,0.00,0.98,0.00,0.92,0.00,0.00,0.33,0.00,0.98,0.37,0.60,0.00,0.00,0.10,0.01,0.11,0.00,0.01,0.00,0.02,1.00,0.92
10,0.00,0.93,0.00,0.34,0.00,0.00,0.02,0.01,0.99,0.45,0.46,0.00,0.00,0.12,0.01,0.18,0.00,0.01,0.00,0.01,1.00,0.98
30,0.00,0.95,0.01,0.27,0.01,0.00,0.03,0.01,1.00,0.33,0.10,0.00,0.00,0.58,0.01,0.16,0.00,0.00,0.01,0.01,1.00,0.98
1,0.00,0.99,0.00,0.61,0.00,0.00,0.06,0.03,0.50,0.75,0.62,0.00,0.00,0.06,0.03,0.21,0.01,0.02,0.00,0.01,0.99,0.58
31,0.00,0.75,0.01,0.38,0.01,0.00,0.02,0.00,1.00,0.41,0.06,0.00,0.00,0.50,0.01,0.20,0.00,0.00,0.01,0.02,1.00,0.99
21,0.00,0.92,0.00,0.96,0.00,0.00,0.32,0.00,0.98,0.38,0.47,0.00,0.00,0.09,0.01,0.12,0.00,0.01,0.00,0.03,1.00,0.92
11,0.00,0.97,0.00,0.62,0.00,0.00,0.08,0.01,0.99,0.44,0.47,0.00,0.00,0.10,0.01,0.15,0.00,0.01,0.00,0.02,1.00,0.94
2,0.00,0.99,0.00,0.84,0.00,0.00,0.03,0.01,0.97,0.81,0.62,0.00,0.00,0.09,0.01,0.16,0.04,0.05,0.00,0.01,1.00,0.93
32,0.00,0.46,0.01,0.29,0.00,0.00,0.02,0.00,1.00,0.54,0.04,0.00,0.00,0.44,0.01,0.21,0.00,0.00,0.01,0.04,1.00,0.97
22,0.00,0.99,0.01,0.67,0.01,0.00,0.36,0.01,0.89,0.31,0.50,0.00,0.00,0.17,0.00,0.13,0.00,0.01,0.00,0.01,1.00,0.95
12,0.00,0.98,0.01,0.90,0.00,0.00,0.26,0.01,0.96,0.47,0.58,0.00,0.00,0.10,0.00,0.13,0.00,0.01,0.00,0.03,1.00,0.93
3,0.00,0.92,0.00,0.23,0.00,0.00,0.02,0.01,0.99,0.37,0.39,0.00,0.00,0.10,0.01,0.16,0.01,0.02,0.00,0.01,1.00,0.96
33,0.00,0.75,0.00,0.34,0.01,0.00,0.02,0.00,1.00,0.43,0.09,0.00,0.00,0.51,0.01,0.19,0.00,0.00,0.01,0.02,1.00,0.99
23,0.00,0.99,0.00,0.80,0.01,0.00,0.19,0.00,0.97,0.30,0.47,0.00,0.00,0.21,0.01,0.14,0.00,0.01,0.00,0.01,1.00,0.97
13,0.00,0.99,0.00,0.91,0.00,0.00,0.34,0.01,0.97,0.44,0.62,0.00,0.00,0.12,0.00,0.12,0.00,0.01,0.00,0.02,1.00,0.94
4,0.00,0.83,0.00,0.40,0.01,0.00,0.02,0.05,0.98,0.63,0.38,0.00,0.00,0.02,0.04,0.17,0.01,0.02,0.01,0.00,1.00,0.99
34,0.00,0.73,0.01,0.30,0.01,0.00,0.02,0.00,1.00,0.44,0.08,0.00,0.00,0.50,0.01,0.20,0.00,0.00,0.01,0.02,1.00,0.99
24,0.00,0.98,0.01,0.80,0.01,0.00,0.21,0.00,0.98,0.33,0.35,0.00,0.00,0.23,0.00,0.13,0.00,0.01,0.00,0.02,1.00,0.97
14,0.00,0.99,0.01,0.79,0.01,0.00,0.25,0.01,0.95,0.34,0.48,0.00,0.00,0.17,0.01,0.14,0.00,0.01,0.00,0.02,1.00,0.95
5,0.00,0.84,0.00,0.48,0.01,0.00,0.02,0.01,0.50,0.90,0.09,0.00,0.00,0.04,0.04,0.24,0.00,0.00,0.02,0.34,1.00,0.36
35,0.00,0.88,0.01,0.31,0.01,0.00,0.02,0.00,1.00,0.44,0.11,0.00,0.00,0.54,0.01,0.18,0.00,0.00,0.01,0.01,1.00,0.99
25,0.00,0.99,0.01,0.73,0.01,0.00,0.27,0.01,0.97,0.35,0.38,0.00,0.00,0.21,0.00,0.13,0.00,0.01,0.00,0.01,1.00,0.96
15,0.00,0.99,0.01,0.78,0.00,0.00,0.26,0.01,0.95,0.41,0.51,0.00,0.00,0.14,0.00,0.13,0.00,0.01,0.00,0.02,1.00,0.95
6,0.00,0.83,0.00,0.66,0.01,0.00,0.02,0.01,0.64,0.87,0.22,0.00,0.00,0.03,0.08,0.29,0.00,0.00,0.01,0.25,1.00,0.56
36,0.00,0.88,0.01,0.26,0.00,0.00,0.02,0.00,1.00,0.46,0.16,0.00,0.00,0.50,0.01,0.18,0.00,0.00,0.01,0.01,1.00,0.98
26,0.00,0.99,0.01,0.55,0.00,0.00,0.27,0.01,0.97,0.40,0.24,0.00,0.00,0.26,0.00,0.12,0.00,0.00,0.00,0.02,1.00,0.95
16,0.00,0.98,0.00,0.87,0.00,0.00,0.29,0.01,0.96,0.49,0.56,0.00,0.00,0.09,0.00,0.12,0.00,0.01,0.00,0.03,1.00,0.92
7,0.00,0.44,0.00,0.95,0.01,0.00,0.13,0.00,0.88,0.51,0.51,0.00,0.00,0.12,0.01,0.22,0.00,0.01,0.00,0.07,1.00,0.71
37,0.00,0.78,0.01,0.24,0.00,0.00,0.02,0.00,1.00,0.53,0.10,0.00,0.00,0.50,0.01,0.19,0.00,0.00,0.01,0.02,1.00,0.97
27,0.00,0.98,0.01,0.44,0.01,0.00,0.19,0.01,0.98,0.36,0.22,0.00,0.00,0.35,0.00,0.13,0.00,0.00,0.00,0.01,1.00,0.96
17,0.00,0.99,0.00,0.91,0.00,0.00,0.36,0.01,0.97,0.39,0.59,0.00,0.00,0.12,0.00,0.11,0.00,0.01,0.00,0.02,1.00,0.94
8,0.00,0.99,0.00,0.79,0.00,0.00,0.16,0.02,0.56,0.78,0.70,0.00,0.00,0.02,0.03,0.14,0.00,0.01,0.00,0.02,0.99,0.53
38,0.00,0.29,0.01,0.13,0.00,0.00,0.01,0.00,0.99,0.66,0.05,0.00,0.00,0.46,0.01,0.29,0.00,0.00,0.01,0.04,1.00,0.91
28,0.00,0.99,0.01,0.68,0.00,0.00,0.30,0.01,0.97,0.38,0.25,0.00,0.00,0.25,0.00,0.13,0.00,0.00,0.00,0.02,1.00,0.95
18,0.00,0.96,0.00,0.94,0.00,0.00,0.36,0.00,0.98,0.38,0.46,0.00,0.00,0.11,0.00,0.12,0.00,0.01,0.00,0.03,1.00,0.93
9,0.00,0.95,0.01,0.43,0.00,0.00,0.15,0.02,0.80,0.46,0.43,0.00,0.00,0.06,0.00,0.13,0.01,0.07,0.00,0.01,1.00,0.92
39,0.00,0.69,0.01,0.23,0.00,0.00,0.02,0.00,1.00,0.57,0.10,0.00,0.00,0.44,0.01,0.19,0.00,0.00,0.01,0.03,1.00,0.97
29,0.00,0.99,0.01,0.57,0.00,0.00,0.31,0.01,0.97,0.45,0.20,0.00,0.00,0.27,0.00,0.12,0.00,0.00,0.00,0.02,1.00,0.96
19,0.00,0.98,0.01,0.88,0.01,0.00,0.28,0.00,0.98,0.37,0.35,0.00,0.00,0.17,0.00,0.12,0.00,0.01,0.00,0.02,1.00,0.97
40,0.00,0.64,0.01,0.25,0.00,0.00,0.02,0.00,1.00,0.57,0.10,0.00,0.00,0.41,0.01,0.17,0.00,0.00,0.01,0.02,1.00,0.94
50,0.00,0.97,0.00,0.59,0.01,0.00,0.02,0.01,0.99,0.62,0.25,0.00,0.00,0.16,0.09,0.26,0.00,0.00,0.01,0.02,1.00,0.96
60,0.00,0.99,0.01,0.49,0.01,0.00,0.03,0.01,0.76,0.75,0.58,0.00,0.00,0.11,0.07,0.23,0.00,0.00,0.01,0.02,1.00,0.71
70,0.00,0.92,0.00,0.71,0.01,0.00,0.01,0.01,0.80,0.69,0.17,0.00,0.00,0.21,0.04,0.48,0.00,0.00,0.02,0.02,1.00,0.87
41,0.00,0.88,0.01,0.23,0.00,0.00,0.06,0.00,0.99,0.61,0.17,0.00,0.00,0.40,0.01,0.16,0.00,0.00,0.01,0.02,1.00,0.94
51,0.00,0.69,0.00,0.43,0.00,0.00,0.01,0.00,1.00,0.51,0.26,0.00,0.00,0.31,0.01,0.24,0.00,0.00,0.01,0.02,1.00,0.99
61,0.00,0.96,0.01,0.88,0.01,0.00,0.02,0.01,0.98,0.91,0.11,0.00,0.00,0.25,0.04,0.24,0.00,0.00,0.00,0.04,1.00,0.84
71,0.00,0.99,0.01,0.80,0.01,0.00,0.01,0.02,0.73,0.88,0.38,0.00,0.00,0.15,0.04,0.45,0.00,0.00,0.00,0.01,1.00,0.88
42,0.00,0.86,0.00,0.27,0.01,0.00,0.02,0.00,1.00,0.43,0.32,0.00,0.00,0.45,0.01,0.18,0.00,0.01,0.01,0.01,1.00,0.97
52,0.00,0.42,0.00,0.53,0.00,0.00,0.01,0.00,1.00,0.54,0.17,0.00,0.00,0.33,0.01,0.30,0.00,0.00,0.01,0.02,1.00,0.98
62,0.00,0.56,0.00,0.54,0.00,0.00,0.02,0.00,1.00,0.62,0.20,0.00,0.00,0.24,0.01,0.22,0.00,0.00,0.01,0.02,1.00,0.96
72,0.00,1.00,0.01,0.68,0.01,0.00,0.01,0.02,0.64,0.90,0.49,0.00,0.00,0.15,0.04,0.40,0.00,0.00,0.00,0.01,1.00,0.87
43,0.00,0.78,0.00,0.36,0.01,0.00,0.01,0.00,1.00,0.38,0.21,0.00,0.00,0.46,0.01,0.22,0.00,0.00,0.01,0.01,1.00,0.99
53,0.00,0.78,0.00,0.31,0.00,0.00,0.01,0.00,1.00,0.50,0.19,0.00,0.00,0.38,0.01,0.22,0.00,0.00,0.01,0.02,1.00,0.99
63,0.00,0.60,0.01,0.48,0.00,0.00,0.02,0.00,0.97,0.72,0.33,0.00,0.00,0.23,0.00,0.29,0.01,0.01,0.01,0.01,1.00,0.88
73,0.00,0.97,0.01,0.87,0.01,0.00,0.01,0.02,0.80,0.83,0.40,0.00,0.00,0.13,0.03,0.62,0.01,0.00,0.00,0.01,1.00,0.93
44,0.00,0.97,0.00,0.69,0.01,0.00,0.02,0.01,0.99,0.49,0.26,0.00,0.00,0.16,0.07,0.28,0.00,0.00,0.01,0.01,1.00,0.98
54,0.00,0.71,0.00,0.28,0.00,0.00,0.01,0.00,1.00,0.49,0.12,0.00,0.00,0.45,0.01,0.21,0.00,0.00,0.01,0.02,1.00,0.99
64,0.00,0.48,0.01,0.34,0.00,0.00,0.03,0.00,0.95,0.61,0.25,0.00,0.00,0.25,0.00,0.22,0.00,0.01,0.01,0.01,1.00,0.81
