1, 1384137478614, 1384137478658, 44, 44
2, 1384137478662, 1384137478697, 35, 9
3, 1384137478701, 1384137478735, 34, 1
4, 1384137478743, 1384137478771, 28, 6
5, 1384137478788, 1384137478831, 43, 15
6, 1384137478834, 1384137478864, 30, 13
7, 1384137478867, 1384137478887, 20, 10
8, 1384137478891, 1384137478932, 41, 21
9, 1384137478937, 1384137478983, 46, 5
10, 1384137478987, 1384137479034, 47, 1
11, 1384137479037, 1384137479072, 35, 12
12, 1384137479078, 1384137479114, 36, 1
13, 1384137479118, 1384137479161, 43, 7
14, 1384137479165, 1384137479197, 32, 11
15, 1384137479200, 1384137479235, 35, 3
16, 1384137479239, 1384137479281, 42, 7
17, 1384137479289, 1384137479330, 41, 1
18, 1384137479336, 1384137479378, 42, 1
19, 1384137479381, 1384137479433, 52, 10
20, 1384137479436, 1384137479485, 49, 3
21, 1384137479497, 1384137479575, 78, 29
22, 1384137479583, 1384137479639, 56, 22
23, 1384137479649, 1384137479673, 24, 32
24, 1384137479678, 1384137479716, 38, 14
25, 1384137479719, 1384137479745, 26, 12
26, 1384137479757, 1384137483404, 3647, 3621
27, 1384137483410, 1384137484978, 1568, 2079
28, 1384137484985, 1384137485019, 34, 1534
29, 1384137485026, 1384137485079, 53, 19
30, 1384137485085, 1384137485135, 50, 3
31, 1384137485166, 1384137485223, 57, 7
32, 1384137485233, 1384137485261, 28, 29
33, 1384137485275, 1384137485301, 26, 2
34, 1384137485309, 1384137486269, 960, 934
35, 1384137486276, 1384137488317, 2041, 1081
36, 1384137488324, 1384137490268, 1944, 97
37, 1384137490278, 1384137490402, 124, 1820
38, 1384137490409, 1384137491595, 1186, 1062
39, 1384137491603, 1384137494564, 2961, 1775
40, 1384137494575, 1384137496219, 1644, 1317
41, 1384137496228, 1384137498353, 2125, 481
42, 1384137498363, 1384137503269, 4906, 2781
43, 1384137503278, 1384137507262, 3984, 922
44, 1384137507269, 1384137514224, 6955, 2971
45, 1384137514231, 1384137515453, 1222, 5733
46, 1384137515460, 1384137515504, 44, 1178
47, 1384137515510, 1384137515618, 108, 64
48, 1384137515624, 1384137515728, 104, 4
49, 1384137515749, 1384137515808, 59, 45
50, 1384137515844, 1384137515870, 26, 33
51, 1384137515877, 1384137515909, 32, 6
52, 1384137515915, 1384137515949, 34, 2
53, 1384137515959, 1384137515992, 33, 1
54, 1384137515999, 1384137516039, 40, 7
55, 1384137516044, 1384137516086, 42, 2
56, 1384137516095, 1384137516169, 74, 32
57, 1384137516181, 1384137516225, 44, 30
58, 1384137516231, 1384137519155, 2924, 2880
59, 1384137519162, 1384137520881, 1719, 1205
60, 1384137520887, 1384137522929, 2042, 323
61, 1384137522935, 1384137524567, 1632, 410
62, 1384137524574, 1384137526615, 2041, 409
63, 1384137526621, 1384137527742, 1121, 920
64, 1384137527751, 1384137527800, 49, 1072
65, 1384137527806, 1384137527879, 73, 24
66, 1384137527908, 1384137527955, 47, 26
67, 1384137527962, 1384137528014, 52, 5
68, 1384137528020, 1384137528100, 80, 28
69, 1384137528106, 1384137528137, 31, 49
70, 1384137528142, 1384137528173, 31, 0
71, 1384137528188, 1384137528223, 35, 4
72, 1384137528252, 1384137528281, 29, 6
73, 1384137528293, 1384137528321, 28, 1
74, 1384137528327, 1384137528358, 31, 3
75, 1384137528362, 1384137528391, 29, 2
76, 1384137528404, 1384137528438, 34, 5
77, 1384137528444, 1384137528521, 77, 43
78, 1384137528532, 1384137528593, 61, 16
79, 1384137528605, 1384137528630, 25, 36
80, 1384137528637, 1384137528694, 57, 32
81, 1384137528700, 1384137528742, 42, 15
82, 1384137528755, 1384137528807, 52, 10
83, 1384137528814, 1384137528868, 54, 2
84, 1384137528879, 1384137528942, 63, 9
85, 1384137528948, 1384137528980, 32, 31
86, 1384137528986, 1384137529102, 116, 84
87, 1384137529108, 1384137529152, 44, 72
88, 1384137529158, 1384137529198, 40, 4
89, 1384137529204, 1384137529308, 104, 64
90, 1384137529349, 1384137529482, 133, 29
91, 1384137529488, 1384137529710, 222, 89
92, 1384137529718, 1384137529752, 34, 188
93, 1384137529762, 1384137529831, 69, 35
94, 1384137529837, 1384137529992, 155, 86
95, 1384137529999, 1384137533169, 3170, 3015
96, 1384137533177, 1384137534500, 1323, 1847
97, 1384137534505, 1384137534808, 303, 1020
98, 1384137534815, 1384137535731, 916, 613
99, 1384137535738, 1384137535792, 54, 862
100, 1384137535799, 1384137535869, 70, 16
101, 1384137535877, 1384137536242, 365, 295
102, 1384137536247, 1384137536356, 109, 256
103, 1384137536372, 1384137536469, 97, 12
104, 1384137536477, 1384137536856, 379, 282
105, 1384137536863, 1384137537051, 188, 191
106, 1384137537058, 1384137537139, 81, 107
107, 1384137537166, 1384137537230, 64, 17
108, 1384137537236, 1384137537981, 745, 681
109, 1384137537987, 1384137538800, 813, 68
110, 1384137538807, 1384137538903, 96, 717
111, 1384137538910, 1384137538986, 76, 20
112, 1384137538992, 1384137545047, 6055, 5979
113, 1384137545056, 1384137545559, 503, 5552
114, 1384137545567, 1384137546993, 1426, 923
115, 1384137547000, 1384137547711, 711, 715
116, 1384137547719, 1384137549553, 1834, 1123
117, 1384137549562, 1384137549962, 400, 1434
118, 1384137549969, 1384137551293, 1324, 924
119, 1384137551301, 1384137558770, 7469, 6145
120, 1384137558778, 1384137565528, 6750, 719
121, 1384137565554, 1384137574334, 8780, 2030
122, 1384137574340, 1384137581708, 7368, 1412
123, 1384137581719, 1384137588875, 7156, 212
124, 1384137588890, 1384137590514, 1624, 5532
125, 1384137590520, 1384137593483, 2963, 1339
126, 1384137593491, 1384137598705, 5214, 2251
127, 1384137598712, 1384137598808, 96, 5118
128, 1384137598814, 1384137607000, 8186, 8090
129, 1384137607008, 1384137612736, 5728, 2458
130, 1384137612744, 1384137618469, 5725, 3
131, 1384137618477, 1384137623692, 5215, 510
132, 1384137623717, 1384137628402, 4685, 530
133, 1384137628414, 1384137628601, 187, 4498
134, 1384137628610, 1384137638232, 9622, 9435
135, 1384137638240, 1384137647352, 9112, 510
136, 1384137647361, 1384137655743, 8382, 730
137, 1384137655749, 1384137655860, 111, 8271
138, 1384137655867, 1384137655920, 53, 58
139, 1384137655927, 1384137655959, 32, 21
140, 1384137655964, 1384137656020, 56, 24
141, 1384137656027, 1384137656074, 47, 9
142, 1384137656081, 1384137656115, 34, 13
143, 1384137656121, 1384137656151, 30, 4
144, 1384137656157, 1384137656190, 33, 3
145, 1384137656196, 1384137656221, 25, 8
146, 1384137656226, 1384137656247, 21, 4
147, 1384137656253, 1384137656288, 35, 14
148, 1384137656298, 1384137656357, 59, 24
149, 1384137656365, 1384137656422, 57, 2
150, 1384137656429, 1384137658098, 1669, 1612
151, 1384137658108, 1384137662181, 4073, 2404
152, 1384137662207, 1384137670693, 8486, 4413
153, 1384137670718, 1384137673458, 2740, 5746
154, 1384137673464, 1384137675404, 1940, 800
155, 1384137675411, 1384137676327, 916, 1024
156, 1384137676335, 1384137684108, 7773, 6857
157, 1384137684115, 1384137696294, 12179, 4406
158, 1384137696302, 1384137706035, 9733, 2446
159, 1384137706044, 1384137713088, 7044, 2689
160, 1384137713096, 1384137716876, 3780, 3264
161, 1384137716883, 1384137725990, 9107, 5327
162, 1384137725997, 1384137734284, 8287, 820
163, 1384137734295, 1384137744116, 9821, 1534
164, 1384137744124, 1384137744524, 400, 9421
165, 1384137744531, 1384137745651, 1120, 720
166, 1384137745672, 1384137746879, 1207, 87
167, 1384137746886, 1384137755175, 8289, 7082
168, 1384137755184, 1384137759783, 4599, 3690
169, 1384137759791, 1384137763981, 4190, 409
170, 1384137763989, 1384137769308, 5319, 1129
171, 1384137769316, 1384137777090, 7774, 2455
172, 1384137777120, 1384137799308, 22188, 14414
173, 1384137799319, 1384137804327, 5008, 17180
174, 1384137804335, 1384137804839, 504, 4504
175, 1384137804845, 1384137804892, 47, 457
176, 1384137804899, 1384137805351, 452, 405
177, 1384137805374, 1384137805965, 591, 139
178, 1384137805972, 1384137806272, 300, 291
179, 1384137806280, 1384137806989, 709, 409
180, 1384137806997, 1384137807046, 49, 660
181, 1384137807055, 1384137807910, 855, 806
182, 1384137807919, 1384137811187, 3268, 2413
183, 1384137811201, 1384137819789, 8588, 5320
184, 1384137819795, 1384137824089, 4294, 4294
185, 1384137824116, 1384137826752, 2636, 1658
186, 1384137826759, 1384137834637, 7878, 5242
187, 1384137834645, 1384137845901, 11256, 3378
188, 1384137845911, 1384137858190, 12279, 1023
189, 1384137858199, 1384137858906, 707, 11572
190, 1384137858911, 1384137858932, 21, 686
191, 1384137858938, 1384137858970, 32, 11
192, 1384137858976, 1384137859003, 27, 5
193, 1384137859030, 1384137859095, 65, 38
194, 1384137859101, 1384137859145, 44, 21
195, 1384137859158, 1384137859187, 29, 15
196, 1384137859192, 1384137859219, 27, 2
197, 1384137859226, 1384137859248, 22, 5
198, 1384137859253, 1384137859279, 26, 4
199, 1384137859285, 1384137859323, 38, 12
200, 1384137859328, 1384137859362, 34, 4
201, 1384137859368, 1384137859407, 39, 5
202, 1384137859417, 1384137859466, 49, 10
203, 1384137859470, 1384137859496, 26, 23
204, 1384137859500, 1384137859530, 30, 4
205, 1384137859533, 1384137859555, 22, 8
206, 1384137859559, 1384137859640, 81, 59
207, 1384137859648, 1384137859673, 25, 56
208, 1384137859686, 1384137859754, 68, 43
209, 1384137859765, 1384137859832, 67, 1
210, 1384137859841, 1384137859903, 62, 5
211, 1384137859910, 1384137859993, 83, 21
212, 1384137860005, 1384137860081, 76, 7
213, 1384137860088, 1384137860185, 97, 21
214, 1384137860192, 1384137861466, 1274, 1177
215, 1384137861473, 1384137862081, 608, 666
216, 1384137862088, 1384137864335, 2247, 1639
217, 1384137864342, 1384137868429, 4087, 1840
218, 1384137868437, 1384137868480, 43, 4044
219, 1384137868486, 1384137868583, 97, 54
220, 1384137868590, 1384137868671, 81, 16
221, 1384137868678, 1384137868715, 37, 44
222, 1384137868722, 1384137868754, 32, 5
223, 1384137868760, 1384137868792, 32, 0
224, 1384137868800, 1384137869454, 654, 622
225, 1384137869463, 1384137869506, 43, 611
226, 1384137869514, 1384137869546, 32, 11
227, 1384137869553, 1384137869577, 24, 8
228, 1384137869604, 1384137869633, 29, 5
229, 1384137869655, 1384137869679, 24, 5
230, 1384137869682, 1384137869707, 25, 1
231, 1384137869711, 1384137869747, 36, 11
232, 1384137869751, 1384137869778, 27, 9
233, 1384137869782, 1384137869849, 67, 40
234, 1384137869855, 1384137869896, 41, 26
235, 1384137869902, 1384137869963, 61, 20
236, 1384137869969, 1384137870023, 54, 7
237, 1384137870030, 1384137870057, 27, 27
238, 1384137870063, 1384137870089, 26, 1
239, 1384137870095, 1384137870130, 35, 9
240, 1384137870136, 1384137884987, 14851, 14816
241, 1384137885015, 1384137885053, 38, 14813
242, 1384137885068, 1384137885111, 43, 5
243, 1384137885114, 1384137885151, 37, 6
244, 1384137885154, 1384137885237, 83, 46
245, 1384137885240, 1384137885634, 394, 311
246, 1384137885640, 1384137885916, 276, 118
247, 1384137885923, 1384137886094, 171, 105
248, 1384137886107, 1384137886554, 447, 276
249, 1384137886559, 1384137886584, 25, 422
250, 1384137886590, 1384137886624, 34, 9
251, 1384137886631, 1384137886656, 25, 9
252, 1384137886666, 1384137886709, 43, 18
253, 1384137886741, 1384137886784, 43, 0
254, 1384137886793, 1384137886827, 34, 9
255, 1384137886833, 1384137886860, 27, 7
256, 1384137886867, 1384137886906, 39, 12
257, 1384137886912, 1384137886944, 32, 7
258, 1384137886966, 1384137887037, 71, 39
259, 1384137887043, 1384137887065, 22, 49
260, 1384137887071, 1384137887100, 29, 7
261, 1384137887103, 1384137887129, 26, 3
262, 1384137887134, 1384137887165, 31, 5
263, 1384137887171, 1384137887204, 33, 2
264, 1384137887210, 1384137887244, 34, 1
265, 1384137887267, 1384137887296, 29, 5
266, 1384137887314, 1384137887350, 36, 7
267, 1384137887358, 1384137887389, 31, 5
268, 1384137887394, 1384137887436, 42, 11
269, 1384137887442, 1384137887487, 45, 3
270, 1384137887493, 1384137887527, 34, 11
271, 1384137887536, 1384137887579, 43, 9
272, 1384137887606, 1384137887635, 29, 14
273, 1384137887639, 1384137887667, 28, 1
274, 1384137887670, 1384137887702, 32, 4
275, 1384137887709, 1384137887754, 45, 13
276, 1384137887760, 1384137887788, 28, 17
277, 1384137887793, 1384137887825, 32, 4
278, 1384137887836, 1384137887862, 26, 6
279, 1384137887868, 1384137887912, 44, 18
280, 1384137887919, 1384137887952, 33, 11
281, 1384137887958, 1384137887995, 37, 4
282, 1384137888001, 1384137888025, 24, 13
283, 1384137888028, 1384137888053, 25, 1
284, 1384137888056, 1384137888082, 26, 1
285, 1384137888086, 1384137888114, 28, 2
286, 1384137888133, 1384137888180, 47, 19
287, 1384137888215, 1384137888239, 24, 23
288, 1384137888246, 1384137888273, 27, 3
289, 1384137888278, 1384137888309, 31, 4
290, 1384137888315, 1384137888340, 25, 6
291, 1384137888346, 1384137888374, 28, 3
292, 1384137888379, 1384137888421, 42, 14
293, 1384137888431, 1384137888464, 33, 9
294, 1384137888471, 1384137888498, 27, 6
