0,0.00,0.00,0.95,0.99,0.01,0.01,0.01,0.02,0.34,0.02,0.01,0.24,0.00,0.01,0.02,0.01,0.09,0.03,0.05,0.68,0.35,0.07
6,0.00,0.23,0.24,0.80,0.01,0.00,0.06,0.04,1.00,0.09,0.00,0.01,0.00,0.00,0.11,0.01,0.59,0.03,0.00,0.84,0.92,0.28
18,0.00,0.99,0.67,0.83,0.01,0.00,1.00,0.02,0.93,0.00,0.04,0.00,0.00,0.02,0.07,0.00,0.07,0.03,0.02,0.01,0.02,0.25
36,0.00,1.00,0.03,1.00,0.00,0.00,0.94,0.02,0.72,0.24,0.43,0.00,0.00,0.01,0.01,0.03,0.10,0.61,0.01,0.02,1.00,0.10
42,0.00,0.32,0.00,1.00,0.00,0.00,0.01,0.00,0.79,0.08,0.04,0.03,0.00,0.01,0.17,0.02,0.41,0.02,0.03,0.07,0.78,0.10
30,0.00,0.12,0.11,0.99,0.02,0.00,0.94,0.03,0.40,0.04,0.08,0.01,0.00,0.02,0.01,0.01,0.16,0.35,0.14,0.00,0.25,0.01
24,0.00,0.15,0.05,1.00,0.02,0.00,0.08,0.01,0.63,0.01,0.10,0.03,0.00,0.03,0.09,0.01,0.12,0.14,0.10,0.01,0.25,0.11
12,0.00,0.35,0.04,0.94,0.01,0.00,0.04,0.01,0.48,0.07,0.01,0.10,0.00,0.01,0.24,0.02,0.37,0.05,0.06,0.03,1.00,0.03
1,0.00,0.02,1.00,1.00,0.05,0.01,0.01,0.02,0.12,0.04,0.03,0.57,0.00,0.01,0.07,0.01,0.08,0.05,0.01,0.69,0.16,0.08
37,0.00,0.86,0.04,0.61,0.00,0.00,0.99,0.02,0.22,0.19,0.92,0.00,0.00,0.00,0.01,0.02,0.01,0.34,0.59,0.25,0.71,0.07
7,0.00,0.12,0.04,0.98,0.01,0.00,0.02,0.04,0.14,0.08,0.04,0.73,0.00,0.00,0.18,0.05,0.35,0.10,0.06,0.05,0.99,0.04
19,0.00,0.05,0.72,0.49,0.03,0.02,0.01,0.02,0.49,0.03,0.01,0.03,0.00,0.03,0.39,0.00,0.04,0.01,0.01,0.32,0.06,0.26
43,0.00,0.34,0.76,0.95,0.01,0.01,0.03,0.01,0.05,0.05,0.07,0.34,0.00,0.00,0.22,0.01,0.15,0.63,0.00,0.44,0.08,0.02
13,0.00,0.43,0.02,0.99,0.01,0.00,0.14,0.01,0.73,0.03,0.02,0.01,0.00,0.01,0.21,0.01,0.43,0.02,0.02,0.03,0.32,0.02
25,0.00,0.48,0.03,1.00,0.02,0.00,0.51,0.03,0.57,0.04,0.10,0.03,0.00,0.00,0.22,0.01,0.32,0.33,0.03,0.02,0.68,0.01
31,0.00,0.00,0.02,0.47,0.01,0.02,0.23,0.06,0.14,0.04,0.07,0.08,0.00,0.01,0.11,0.00,0.32,0.93,0.38,0.00,0.14,0.02
2,0.00,0.02,0.99,1.00,0.03,0.01,0.01,0.02,0.08,0.03,0.22,0.39,0.00,0.00,0.27,0.01,0.04,0.03,0.00,0.98,0.08,0.03
38,0.00,1.00,0.05,0.91,0.01,0.00,1.00,0.04,0.68,0.01,0.27,0.01,0.00,0.00,0.26,0.00,0.01,0.91,0.04,0.12,0.08,0.01
8,0.00,0.22,0.66,0.98,0.03,0.00,0.01,0.03,0.35,0.17,0.05,0.26,0.00,0.01,0.41,0.02,0.16,0.02,0.01,0.09,0.80,0.06
20,0.00,0.20,0.01,0.15,0.01,0.00,0.04,0.03,0.48,0.08,0.03,0.26,0.00,0.01,0.03,0.00,0.55,0.22,0.17,0.06,0.59,0.01
44,0.00,0.46,0.01,0.99,0.00,0.00,0.05,0.01,0.62,0.04,0.05,0.01,0.00,0.01,0.05,0.02,0.86,0.09,0.03,0.09,0.25,0.02
14,0.00,0.50,0.02,0.09,0.01,0.00,0.22,0.03,0.05,0.01,0.11,0.53,0.00,0.01,0.04,0.01,0.23,0.85,0.09,0.07,0.28,0.03
32,0.00,0.02,0.01,0.97,0.01,0.01,0.02,0.02,0.38,0.03,0.04,0.07,0.00,0.01,0.61,0.00,0.16,0.24,0.56,0.01,0.77,0.03
26,0.00,0.26,0.01,1.00,0.01,0.00,0.03,0.02,0.30,0.03,0.14,0.69,0.00,0.00,0.15,0.04,0.18,0.50,0.03,0.05,0.21,0.05
3,0.00,0.86,0.11,0.88,0.02,0.00,0.16,0.01,1.00,0.04,0.00,0.00,0.00,0.01,0.07,0.01,0.04,0.02,0.00,0.99,0.95,0.25
